sensorID,date time,battery,co2,humidity,temperature
lw-ms-ambi-03,2025-04-25T10:38:42.970154Z,71,393,55,17.9
lw-ms-ambi-02,2025-04-25T10:38:47.630393Z,65,610,48,20
lw-ms-ambi-01,2025-04-25T10:44:42.485411Z,67,306,56,17.5
lw-ms-ambi-02,2025-04-25T10:48:43.617726Z,65,607,48,20
lw-ms-ambi-03,2025-04-25T10:48:44.285814Z,71,396,55,17.9
lw-ms-ambi-01,2025-04-25T10:54:42.204095Z,67,306,55.5,17.5
lw-ms-ambi-02,2025-04-25T10:58:43.588686Z,65,617,48,20
lw-ms-ambi-03,2025-04-25T10:58:44.524725Z,71,383,55,17.9
lw-ms-ambi-01,2025-04-25T11:04:42.417959Z,67,310,55.5,17.6
lw-ms-ambi-02,2025-04-25T11:08:44.004484Z,65,629,48,20
lw-ms-ambi-01,2025-04-25T11:14:47.538204Z,67,315,55.5,17.6
lw-ms-ambi-03,2025-04-25T11:18:45.082458Z,71,391,55,18
lw-ms-ambi-02,2025-04-25T11:18:45.385850Z,65,609,48,20.1
lw-ms-ambi-01,2025-04-25T11:24:38.970634Z,67,319,55.5,17.6
lw-ms-ambi-03,2025-04-25T11:28:44.546408Z,71,402,55,18
lw-ms-ambi-01,2025-04-25T11:34:43.119985Z,67,324,55.5,17.6
lw-ms-ambi-03,2025-04-25T11:38:44.087235Z,71,397,55,18
lw-ms-ambi-02,2025-04-25T11:38:44.540852Z,65,615,48,20.1
lw-ms-ambi-01,2025-04-25T11:44:41.395898Z,67,312,55.5,17.6
lw-ms-ambi-03,2025-04-25T11:48:41.232443Z,71,400,55,18
lw-ms-ambi-02,2025-04-25T11:48:46.345915Z,65,621,48,20.1
lw-ms-ambi-02,2025-04-25T11:58:43.672248Z,65,609,48,20.1
lw-ms-ambi-03,2025-04-25T11:58:44.932279Z,71,391,55,18
lw-ms-ambi-01,2025-04-25T12:04:39.834894Z,67,320,55,17.7
lw-ms-ambi-03,2025-04-25T12:08:41.246781Z,71,407,55,18.1
lw-ms-ambi-02,2025-04-25T12:08:42.336726Z,65,606,48,20.2
lw-ms-ambi-01,2025-04-25T12:14:39.591161Z,67,314,55.5,17.8
lw-ms-ambi-03,2025-04-25T12:18:42.290036Z,71,399,54.5,18.1
lw-ms-ambi-01,2025-04-25T12:24:42.101176Z,67,304,55,17.8
