sensorID,date time,battery,co2,humidity,temperature
lw-ms-ambi-01,2025-01-21T10:04:41.586648Z,73,284,54,17.5
lw-ms-ambi-02,2025-01-21T10:06:47.272304Z,74,460,53.5,18.3
lw-ms-ambi-03,2025-01-21T10:08:40.768416Z,77,348,55.5,15.6
lw-ms-ambi-01,2025-01-21T10:14:41.478127Z,73,295,54.5,17.6
lw-ms-ambi-02,2025-01-21T10:16:45.657085Z,74,464,53.5,18.3
lw-ms-ambi-03,2025-01-21T10:18:40.988778Z,77,349,55.5,15.6
lw-ms-ambi-01,2025-01-21T10:24:38.788759Z,73,285,54,17.5
lw-ms-ambi-02,2025-01-21T10:26:45.103834Z,74,456,53.5,18.3
lw-ms-ambi-03,2025-01-21T10:28:40.088010Z,77,354,56.5,15.6
lw-ms-ambi-01,2025-01-21T10:34:37.511242Z,73,289,54.5,17.5
lw-ms-ambi-02,2025-01-21T10:36:47.555870Z,74,450,53.5,18.3
lw-ms-ambi-03,2025-01-21T10:38:43.485958Z,77,353,55.5,15.6
lw-ms-ambi-01,2025-01-21T10:44:42.386749Z,73,279,54,17.6
lw-ms-ambi-03,2025-01-21T10:48:40.699026Z,77,350,55.5,15.6
lw-ms-ambi-01,2025-01-21T10:54:37.944726Z,73,291,54,17.6
lw-ms-ambi-03,2025-01-21T10:58:43.066797Z,77,355,55.5,15.6
lw-ms-ambi-01,2025-01-21T11:04:38.535278Z,73,281,54,17.6
lw-ms-ambi-03,2025-01-21T11:08:40.437632Z,77,354,56,15.6
lw-ms-ambi-01,2025-01-21T11:14:40.233955Z,73,302,54,17.6
lw-ms-ambi-02,2025-01-21T11:16:45.069680Z,74,443,53.5,18.3
lw-ms-ambi-03,2025-01-21T11:18:39.857032Z,77,365,56,15.6
lw-ms-ambi-01,2025-01-21T11:24:38.139049Z,73,293,54,17.6
lw-ms-ambi-02,2025-01-21T11:26:43.694950Z,74,469,54,18.3
lw-ms-ambi-03,2025-01-21T11:28:39.191806Z,77,348,56,15.6
lw-ms-ambi-01,2025-01-21T11:34:41.586491Z,73,283,54,17.6
lw-ms-ambi-02,2025-01-21T11:36:43.797752Z,74,491,54,18.3
lw-ms-ambi-03,2025-01-21T11:38:41.139621Z,77,356,56,15.6
lw-ms-ambi-01,2025-01-21T11:44:37.843826Z,73,281,54,17.6
lw-ms-ambi-02,2025-01-21T11:46:44.608593Z,74,516,54,18.3
lw-ms-ambi-03,2025-01-21T11:48:39.233391Z,77,370,56,15.7
lw-ms-ambi-01,2025-01-21T11:54:41.612258Z,73,294,54.5,17.6
lw-ms-ambi-02,2025-01-21T11:56:47.065382Z,74,500,54,18.3
lw-ms-ambi-03,2025-01-21T11:58:40.146989Z,77,353,55.5,15.6
lw-ms-ambi-01,2025-01-21T12:04:41.636297Z,73,294,54,17.6
lw-ms-ambi-02,2025-01-21T12:06:53.977295Z,74,509,54,18.3
lw-ms-ambi-03,2025-01-21T12:08:42.499805Z,77,361,55.5,15.7
lw-ms-ambi-01,2025-01-21T12:14:41.528834Z,73,288,54,17.6
lw-ms-ambi-02,2025-01-21T12:16:46.253347Z,74,511,54,18.3
lw-ms-ambi-03,2025-01-21T12:18:39.470638Z,77,348,55.5,15.6
lw-ms-ambi-01,2025-01-21T12:24:42.206380Z,73,300,54,17.6
lw-ms-ambi-02,2025-01-21T12:26:45.032899Z,74,529,54,18.3
lw-ms-ambi-03,2025-01-21T12:28:41.231011Z,77,355,56,15.7
lw-ms-ambi-01,2025-01-21T12:34:38.760757Z,73,302,54,17.6
lw-ms-ambi-02,2025-01-21T12:36:46.423010Z,74,573,54,18.3
